2.105263157894736725e-01,4.260123654589517139e-01
4.736842105263157632e-01,6.507209945362172343e-01
7.894736842105263275e-01,7.848243607331429894e-01
5.263157894736841813e-02,4.425121831082688972e-01
3.157894736842105088e-01,4.446627400933022556e-01
9.473684210526315264e-01,7.906636125517243485e-01
6.315789473684210176e-01,5.920902916628947299e-01
0.000000000000000000e+00,3.915614217451870438e-01
4.210526315789473450e-01,6.233716686359227488e-01
5.789473684210526550e-01,7.011823493779331118e-01
6.842105263157893802e-01,6.606302697547263847e-01
3.684210526315789269e-01,6.512160419894971186e-01
8.421052631578946901e-01,8.764106120088904772e-01
1.052631578947368363e-01,4.038072630123331619e-01
1.000000000000000000e+00,8.752257195274921742e-01
2.631578947368420907e-01,6.224664904007042310e-01
5.263157894736841813e-01,5.790981743853821362e-01
7.368421052631578538e-01,8.657746706245105228e-01
8.947368421052630527e-01,8.519270025782957889e-01
1.578947368421052544e-01,3.848161545658257410e-01
